Jalsa, Yes, Yes,4.1,775, Banashankari, Casual Dining,800, Buffet, Banashankari, North Indian/Mughlai/Chinese
Tasty Bytes, Yes, No,3.1,245, Kumaraswamy Layout, Quick Bites,300, Delivery, Banashankari, North Indian/Chinese/Momos/Rolls
Petoo, No, No,3.7,21, Banashankari, Quick Bites,450, Delivery, Banashankari, North Indian
Shree Cool Point, Yes, No,4.1,28, Vijay Nagar, Quick Bites,150, Delivery, Banashankari, Fast Food/Street Food/Beverages
Corner House Ice Cream, No, No,4.3,345, Banashankari, Dessert Parlor,400, Delivery, Banashankari, Ice Cream/Desserts
Biryanis And More, Yes, No,4,618, Jayanagar, Casual Dining,750, Delivery, Banashankari, Biryani/North Indian/Chinese/Andhra/South Indian
Roving Feast, No, No,4,1047, Banashankari, Quick Bites,450, Delivery, Banashankari, Italian/Continental/Fast Food/Chinese/Momos
FreshMenu, Yes, No,3.9,627, Banashankari, Delivery,450, Delivery, Banashankari, Healthy Food/Chinese/Biryani/North Indian/Continental/Salad/American/Burger
Banashankari Donne Biriyani, Yes, No,3.8,104, Banashankari, Quick Bites,300, Delivery, Banashankari, Biryani/Fast Food
Wamama, Yes, Yes,4.2,354, Banashankari, Casual Dining,800, Delivery, Banashankari, Asian/Korean/Indonesian/Japanese/Chinese/Thai/Momos
Five Star Chicken, No, No,3.6,55, Banashankari, Quick Bites,200, Delivery, Banashankari, Fast Food/Burger
XO Belgian Waffle, Yes, No,3.7,17, Banashankari, Dessert Parlor,400, Delivery, Banashankari, Desserts/Beverages
Peppy Peppers, No, No,4.2,244, Banashankari, Casual Dining,800, Delivery, Banashankari, Italian/North Indian/Mexican
Goa 0 Km, Yes, Yes,3.6,163, Kumaraswamy Layout, Casual Dining,800, Delivery, Banashankari, Goan/Seafood/North Indian/Chinese/Biryani
Chinese Kitchen, Yes, No,3.8,58, Basavanagudi, Quick Bites,150, Delivery, Banashankari, Chinese
1947, No, Yes,4,808, Banashankari, Casual Dining,850, Delivery, Banashankari, North Indian/Chinese
Kabab Magic, Yes, No,4.1,1720, Basavanagudi, Quick Bites,400, Delivery, Banashankari, North Indian/Kebab/Chinese/Fast Food
Namma Brahmin's Idli, Yes, No,3.6,34, Jayanagar, Quick Bites,100, Delivery, Banashankari, South Indian
Sugar Rush, No, No,3.8,39, Banashankari, Bakery,300, Delivery, Banashankari, Bakery/Desserts
Burger King, Yes, No,3.2,71, Basavanagudi, Quick Bites,600, Delivery, Banashankari, Burger/Fast Food/Beverages
The Biryani Cafe, No, No,4.1,520, Banashankari, Quick Bites,300, Delivery, Banashankari, Biryani/Chinese/Kebab
LSD Cafe, No, No,2.9,84, Banashankari, Delivery,700, Delivery, Banashankari, Chinese/Continental/Italian/North Indian
Rolls On Wheels, No, No,3.6,299, Banashankari, Quick Bites,300, Delivery, Banashankari, Fast Food/Rolls/Momos
Sri Guru Kottureshwara Davangere Benne Dosa, Yes, No,4.1,558, Basavanagudi, Quick Bites,150, Delivery, Banashankari, South Indian
Devanna Dum Biriyani Centre, Yes, No,3.6,28, Banashankari, Quick Bites,300, Delivery, Banashankari, Biryani/South Indian
Kolbeh, No, No,3.7,22, Banashankari, Quick Bites,500, Delivery, Banashankari, Fast Food
Upahar Sagar, No, No,3.8,39, Banashankari, Quick Bites,350, Delivery, Banashankari, South Indian/Chinese/North Indian
Kadalu Sea Food Restaurant, Yes, No,3.8,153, Vijay Nagar, Fine Dining,500, Delivery, Banashankari, Seafood/North Indian/Chinese/Andhra/Biryani/Kebab
Frozen Bottle, Yes, No,4.2,146, Banashankari, Beverage Shop,400, Delivery, Banashankari, Beverages/Desserts/Ice Cream
Parimala Sweets, No, No,3.5,14, Banashankari, Sweet Shop,200, Delivery, Banashankari, Mithai/Street Food
Vaishali Deluxe, No, No,3.8,42, Banashankari, Casual Dining,700, Delivery, Banashankari, North Indian/Chinese
The Big O Bakes, No, No,4,66, Banashankari, Bakery,300, Delivery, Banashankari, Bakery/Desserts
Meghana Foods, Yes, No,4.4,4401, Jayanagar, Casual Dining,600, Delivery, Banashankari, Biryani/North Indian/Chinese
Krishna Sagar, No, No,3.5,31, Banashankari, Quick Bites,200, Delivery, Banashankari, North Indian
Dessert Rose, No, No,3.5,7, Banashankari, Dessert Parlor,500, Delivery, Banashankari, Desserts
Chickpet Donne Biryani House, No, No,3.7,21, Banashankari, Quick Bites,250, Delivery, Banashankari, Biryani
Thanco's Natural Ice Creams, No, No,3.2,9, Banashankari, Dessert Parlor,300, Delivery, Banashankari, Ice Cream
Nandhini Deluxe, No, No,2.6,283, Banashankari, Casual Dining,600, Delivery, Banashankari, North Indian
Vi Ra's Bar and Restaurant, No, No,3.3,62, Banashankari, Bar,800, Delivery, Banashankari, South Indian/North Indian/Chinese
Kaggis, No, No,3.8,64, Banashankari, Quick Bites,250, Delivery, Banashankari, Fast Food/Bakery
Ayda Persian Kitchen, No, No,3.7,39, Banashankari, Casual Dining,950, Delivery, Banashankari, North Indian/Iranian
Chatar Patar, No, No,3.7,65, Banashankari, Quick Bites,300, Delivery, Banashankari, Fast Food/Street Food
Polar Bear, Yes, No,3.8,71, Basavanagudi, Dessert Parlor,400, Delivery, Banashankari, Ice Cream/Desserts/Beverages/Sandwich
Kidambi's Kitchen, No, No,3.5,52, Banashankari, Quick Bites,300, Delivery, Banashankari, South Indian
Mane Thindi, No, No,3.7,130, Banashankari, Quick Bites,200, Delivery, Banashankari, South Indian
Kotian Karavali Restaurant, No, No,3.5,10, Banashankari, Quick Bites,300, Delivery, Banashankari, South Indian/Biryani
CAFE NOVA, No, No,3.2,11, Banashankari, Cafe,600, Delivery, Banashankari, Cafe/Bakery
Cakes & Slices, No, No,3.5,13, Banashankari, Bakery,300, Delivery, Banashankari, Bakery/Desserts
Spice 9, No, No,3.4,8, Banashankari, Quick Bites,300, Delivery, Banashankari, Biryani/North Indian/Chinese/Fast Food
Naveen Kabab & Biriyani Mane, No, No,3.2,9, Banashankari, Quick Bites,300, Delivery, Banashankari, Biryani
Katriguppe Donne Biryani, No, No,3.2,4, Banashankari, Quick Bites,300, Delivery, Banashankari, North Indian
Atithi Point Ande Ka Funda, No, No,3.1,29, Banashankari, Quick Bites,150, Delivery, Banashankari, North Indian
Just Bake, No, No,3.4,8, Banashankari, Bakery,400, Delivery, Banashankari, Bakery/Desserts
Bengaluru Coffee House, Yes, No,4.1,201, Banashankari, Quick Bites,300, Delivery, Banashankari, South Indian/North Indian/Chinese/Street Food
New Mangalore Lunch Home, No, No,3.3,7, Banashankari, Quick Bites,200, Delivery, Banashankari, Mangalorean/South Indian/North Indian
Coffee Bytes, No, No,3.1,6, Banashankari, Quick Bites,100, Delivery, Banashankari, Fast Food/South Indian
Parjanya Chat Zone, No, No,3.3,17, Banashankari, Quick Bites,200, Delivery, Banashankari, Street Food/Fast Food
Kwality Wall's Swirl's Happiness Station, No, No,2.9,25, Banashankari, Dessert Parlor,200, Delivery, Banashankari, Ice Cream/Desserts
Ruchi Maayaka, No, No,3.3,8, Banashankari, Delivery,100, Delivery, Banashankari, South Indian
Anna Kuteera, Yes, No,4,771, Banashankari, Casual Dining,450, Delivery, Banashankari, South Indian/North Indian/Chinese
Darbar, No, No,3,98, Banashankari, Bar,800, Delivery, Banashankari, North Indian/Chinese
Vijayalakshmi, Yes, No,3.9,47, Basavanagudi, Quick Bites,200, Delivery, Banashankari, South Indian
Sri Udupi Food Hub, Yes, Yes,4.1,175, Jayanagar, Casual Dining,500, Delivery, Banashankari, South Indian/North Indian/Chinese/Beverages
Udupi Upahar, Yes, No,3.8,58, Banashankari, Quick Bites,300, Delivery, Banashankari, South Indian/Chinese/North Indian/Juices
House Of Kebabs, Yes, No,3.8,540, Basavanagudi, Casual Dining,650, Delivery, Banashankari, North Indian/Kebab/Biryani/Chinese
Roll N Rock, Yes, No,3.8,124, Kumaraswamy Layout, Quick Bites,400, Delivery, Banashankari, Chinese/North Indian/Mughlai/Rolls
KFC, Yes, No,3.8,505, Banashankari, Quick Bites,450, Delivery, Banashankari, Burger/Fast Food
Roll Over, Yes, No,4.1,438, Jayanagar, Dessert Parlor,500, Delivery, Banashankari, Desserts/Ice Cream/Beverages/Fast Food/Sandwich
Imperial Restaurant, Yes, No,3.7,264, Mysore Road, Casual Dining,750, Delivery, Banashankari, North Indian/Chinese/Biryani/Beverages
Lassi Shop, Yes, No,3.9,169, Kumaraswamy Layout, Beverage Shop,150, Delivery, Banashankari, Beverages/Juices/Ice Cream
The Fortuna, Yes, No,3,67, Kumaraswamy Layout, Quick Bites,250, Delivery, Banashankari, North Indian/Chinese
Wahab, Yes, No,3.7,97, Jayanagar, Quick Bites,350, Delivery, Banashankari, North Indian/Mughlai/Chinese
New Gowda's Fried Chicken, Yes, No,3.3,12, Banashankari, Quick Bites,300, Delivery, Banashankari, Biryani
Canton, Yes, No,3.6,195, Jayanagar, Casual Dining,800, Delivery, Banashankari, Chinese/Seafood/Biryani
The Blue Wagon - Kitchen, Yes, No,4.6,228, Jayanagar, Cafe,400, Delivery, Banashankari, Cafe/Beverages
HOT COFFEE, Yes, No,4.1,70, Basavanagudi, Quick Bites,150, Delivery, Banashankari, South Indian/Chinese
Lassi Corner, Yes, No,3.7,107, Basavanagudi, Beverage Shop,150, Delivery, Banashankari, Beverages/Ice Cream
Sagar Deluxe, Yes, No,3.2,167, Kumaraswamy Layout, Quick Bites,300, Delivery, Banashankari, South Indian/North Indian/Chinese/Juices
Kanti Sweets, Yes, No,4,115, Banashankari, Sweet Shop,400, Delivery, Banashankari, Mithai/Street Food
Aramane Donne Biryani, Yes, No,3.5,57, Banashankari, Quick Bites,200, Delivery, Banashankari, Biryani
Ande Ka Funda, Yes, No,3.8,120, Banashankari, Quick Bites,250, Delivery, Banashankari, North Indian/Fast Food/Rolls
Cake Ghar, Yes, No,3.8,15, Basavanagudi, Bakery,400, Delivery, Banashankari, Bakery
Energy Addaa, Yes, No,4.2,64, Basavanagudi, Quick Bites,500, Delivery, Banashankari, Salad/Healthy Food/Sandwich/Juices/Burger/Desserts/Pizza
Bhattara Bhojana, Yes, No,3.6,66, Banashankari, Quick Bites,150, Delivery, Banashankari, South Indian
Tandoori Knight, Yes, No,3,290, Banashankari, Quick Bites,450, Delivery, Banashankari, North Indian/Chinese/Biryani/Kebab
Dev Sagar - Food Street, Yes, No,4.1,233, Basavanagudi, Quick Bites,200, Delivery, Banashankari, Street Food
Mitraa Da Pizza, Yes, No,3.8,115, Kumaraswamy Layout, Quick Bites,250, Delivery, Banashankari, Fast Food/Pizza
Paradise Premium, Yes, No,3.1,119, Banashankari, Casual Dining,700, Delivery, Banashankari, Biryani/Andhra/Hyderabadi/North Indian
Grazers, Yes, Yes,3.9,291, Jayanagar, Cafe,650, Delivery, Banashankari, Cafe/Burger/Continental/Italian/Desserts
Shakes Theory, Yes, No,4.5,155, Jayanagar, Beverage Shop,300, Delivery, Banashankari, Beverages/Sandwich
@Italy, Yes, No,4.1,305, Kumaraswamy Layout, Casual Dining,700, Delivery, Banashankari, Italian
Chilli Flakes, Yes, No,3.6,46, Banashankari, Quick Bites,500, Delivery, Banashankari, Fast Food/Italian/Beverages
Calcutta Cafe, Yes, No,3.5,45, Kumaraswamy Layout, Quick Bites,350, Delivery, Banashankari, Bengali/Chinese/Sandwich
Old Mumbai Ice Cream, Yes, No,3.9,38, Banashankari, Dessert Parlor,150, Delivery, Banashankari, Ice Cream
Donne Biriyani House, Yes, No,3.9,441, Banashankari, Quick Bites,400, Delivery, Banashankari, South Indian/North Indian/Chinese/Biryani
By 2 Coffee, Yes, No,3.9,25, Basavanagudi, Quick Bites,100, Delivery, Banashankari, South Indian
Kedia's Fun Food, Yes, No,4.3,630, Jayanagar, Quick Bites,200, Delivery, Banashankari, North Indian/Street Food/Juices
Davangere Butter Dosa Hotel, Yes, No,3.8,25, Kumaraswamy Layout, Quick Bites,150, Delivery, Banashankari, South Indian
Just Shawarma, Yes, No,3.9,160, Kumaraswamy Layout, Quick Bites,300, Delivery, Banashankari, Arabian
Mini Punjabi Dhaba, Yes, No,4.2,287, Banashankari, Quick Bites,350, Delivery, Banashankari, North Indian
Mulabagilu Dosa, Yes, No,3.6,11, Basavanagudi, Quick Bites,100, Delivery, Banashankari, South Indian
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley, Yes, No,4.1,402, Banashankari, Cafe,500, Delivery, Banashankari, Cafe
Gokul Veg, Yes, No,3.8,469, Basavanagudi, Casual Dining,750, Delivery, Banashankari, North Indian/Chinese/Beverages
Olive - Era, Yes, No,3.3,511, Kumaraswamy Layout, Casual Dining,550, Delivery, Banashankari, BBQ/Arabian/Rolls/Chinese/North Indian/Juices/Kebab/Desserts
Udupi Ruchi, Yes, No,3.9,57, Banashankari, Quick Bites,200, Delivery, Banashankari, South Indian/North Indian/Chinese/Street Food
Madhappa Hindu Military Hotel, Yes, No,3.4,14, Banashankari, Quick Bites,300, Delivery, Banashankari, South Indian
Gama Gama, Yes, No,3.9,264, Banashankari, Quick Bites,200, Delivery, Banashankari, South Indian
The Vintage Cafe, Yes, No,3,62, Banashankari, Cafe,400, Delivery, Banashankari, Cafe/French/North Indian
Pizza Hut, Yes, No,3.8,693, Banashankari, Casual Dining,750, Delivery, Banashankari, Pizza/Fast Food
Mangalore Pearl, Yes, No,3.8,242, Jayanagar, Casual Dining,650, Delivery, Banashankari, Mangalorean/Seafood/Chinese/Biryani
Asha Sweets Centre, Yes, No,3.6,27, Basavanagudi, Dessert Parlor,250, Delivery, Banashankari, Fast Food
Twiststick House, Yes, No,4.1,163, Basavanagudi, Quick Bites,500, Delivery, Banashankari, Continental/Fast Food/Street Food/Momos
Cool Corner, Yes, No,4.2,191, Basavanagudi, Quick Bites,250, Delivery, Banashankari, Street Food/Fast Food
Pizza Mane, Yes, No,3.5,32, Banashankari, Quick Bites,150, Delivery, Banashankari, Pizza/Sandwich/Burger/Fast Food
Dal Tadkaa, Yes, No,2.5,247, Banashankari, Casual Dining,500, Delivery, Banashankari, North Indian
Mystique Palate, Yes, No,4.1,337, Jayanagar, Quick Bites,300, Delivery, Banashankari, Chinese/Fast Food
Thamboola, Yes, No,3.9,135, Banashankari, Casual Dining,800, Delivery, Banashankari, North Indian/Chinese/Continental
Castle Rock, Yes, No,3.6,172, Uttarahalli, Casual Dining,700, Delivery, Banashankari, North Indian/Chinese
Vietnamese Kitchen, Yes, No,3.6,105, Banashankari, Casual Dining,700, Delivery, Banashankari, Vietnamese
Smacznego, Yes, No,4.2,504, Banashankari, Cafe,550, Delivery, Banashankari, Cafe/Mexican/Italian/Momos/Beverages
C Corner, Yes, No,3.2,36, Kumaraswamy Layout, Quick Bites,200, Delivery, Banashankari, Fast Food/Street Food
Paratha Merchant, Yes, No,3.1,39, Kumaraswamy Layout, Quick Bites,300, Delivery, Banashankari, North Indian
North Rasoe, Yes, No,3.1,5, Kumaraswamy Layout, Casual Dining,500, Delivery, Banashankari, North Indian/Chinese/Biryani/Kebab
Lord Of The Kitchen, Yes, No,3.9,56, Kumaraswamy Layout, Quick Bites,350, Delivery, Banashankari, North Indian/Chinese
Stoned Monkey, Yes, No,4.3,860, Banashankari, Dessert Parlor,500, Delivery, Banashankari, Desserts/Ice Cream
Central Jail Restaurant, Yes, No,3.8,412, Jayanagar, Casual Dining,700, Delivery, Banashankari, Andhra/Seafood/North Indian/Chinese
Vennela Andhra Meals, Yes, No,3,23, Jayanagar, Quick Bites,400, Delivery, Banashankari, Andhra
New Prashanth Hotel, Yes, No,3.6,143, Jayanagar, Casual Dining,750, Delivery, Banashankari, South Indian/Biryani/Chinese/North Indian
The Grillo, Yes, Yes,2.8,80, Jayanagar, Casual Dining,500, Delivery, Banashankari, South Indian/Arabian/Chinese/North Indian/Seafood/Mangalorean
Re Malnad Nati Style Hotel, Yes, No,3.6,16, JP Nagar, Casual Dining,400, Delivery, Banashankari, South Indian
Karma Kaapi, Yes, No,4.4,181, Jayanagar, Beverage Shop,250, Delivery, Banashankari, Beverages/Tea
Tiwari's, Yes, No,3.8,70, Jayanagar, Quick Bites,200, Delivery, Banashankari, North Indian/Street Food
Pizza Stop, Yes, No,3.8,164, Basavanagudi, Quick Bites,600, Delivery, Banashankari, Pizza/Italian
Biggies Burger 'n' More, Yes, No,3.6,58, Kumaraswamy Layout, Quick Bites,650, Delivery, Banashankari, Cafe/Burger/Beverages
Kollapuri's, No, No,3.9,206, Basavanagudi, Quick Bites,450, Delivery, Banashankari, South Indian/Mangalorean
Kadamba Classic, No, No,3.6,16, Mysore Road, Quick Bites,300, Delivery, Banashankari, South Indian
RS Shiv Sagar, No, No,3.7,217, Basavanagudi, Casual Dining,450, Delivery, Banashankari, North Indian/Chinese/South Indian/Fast Food/Juices
Kholi Mane, No, No,3.6,46, Basavanagudi, Quick Bites,450, Delivery, Banashankari, Andhra/South Indian/Biryani/North Indian
Harshi Super Sandwich, No, No,3.8,148, Basavanagudi, Quick Bites,150, Delivery, Banashankari, Fast Food/Street Food
Cake Yard, No, No,3.4,30, Basavanagudi, Dessert Parlor,250, Delivery, Banashankari, Desserts
Rosewood International Hotel - Bar & Restaurant, No, No,3.6,8, Mysore Road, Casual Dining,800, Delivery, Banashankari, North Indian/South Indian/Andhra/Chinese
Sri Udupi Veg, No, No,3.3,4, Jayanagar, Quick Bites,250, Delivery, Banashankari, South Indian
Potato House, Yes, No,3.4,9, Uttarahalli, Quick Bites,200, Delivery, Banashankari, Street Food
Matru Sagar, Yes, No,3.7,31, Mysore Road, Quick Bites,300, Delivery, Banashankari, South Indian/North Indian
Ugadi, Yes, No,2.9,177, Jayanagar, Casual Dining,700, Delivery, Banashankari, North Indian/Chinese/Biryani/Andhra/Mangalorean
Sri Krishna Sweets, Yes, No,3.7,22, Basavanagudi, Sweet Shop,250, Delivery, Banashankari, Mithai/Desserts
In Time Cane Juice, Yes, No,3.5,10, Kumaraswamy Layout, Beverage Shop,100, Delivery, Banashankari, Juices/Beverages
Subway, Yes, No,3.7,136, Banashankari, Quick Bites,600, Delivery, Banashankari, Salad/Fast Food
Daal Roti, Yes, No,2.9,35, Kumaraswamy Layout, Quick Bites,250, Delivery, Banashankari, North Indian/Chinese
The Lassi Park, Yes, No,4.1,185, Jayanagar, Quick Bites,200, Delivery, Banashankari, Juices/Desserts
Cafe Coffee Day, Yes, No,3.2,17, Jayanagar, Cafe,900, Delivery, Banashankari, Cafe/Fast Food
A2B - Adyar Ananda Bhavan, Yes, No,3.8,155, Mysore Road, Casual Dining,400, Delivery, Banashankari, South Indian/North Indian/Chinese/Street Food
Srikrishna Bhavan, Yes, No,3.8,42, Banashankari, Quick Bites,300, Delivery, Banashankari, South Indian/North Indian/Chinese
Timepass Dinner, Yes, No,3.8,286, Basavanagudi, Casual Dining,600, Delivery, Banashankari, North Indian
Green Gardenia, Yes, No,3.8,160, Banashankari, Casual Dining,700, Delivery, Banashankari, North Indian/Chinese
J Spice, Yes, No,3.8,59, Banashankari, Casual Dining,750, Delivery, Banashankari, North Indian/Chinese
Karavali Family Restaurant, Yes, No,3.5,90, Jayanagar, Casual Dining,500, Delivery, Banashankari, Seafood/Biryani/South Indian/North Indian/Chinese
Karavali Lunch Home, Yes, No,3.7,51, Kumaraswamy Layout, Quick Bites,350, Delivery, Banashankari, South Indian/Mangalorean
Hatti Kaapi, Yes, No,4,89, Jayanagar, Quick Bites,200, Delivery, Banashankari, South Indian/Beverages
Kolkata Kathi Roll's, Yes, No,3.6,18, Banashankari, Quick Bites,250, Delivery, Banashankari, Fast Food/Rolls
Upahara Darshini, Yes, No,3.9,40, Basavanagudi, Casual Dining,600, Delivery, Banashankari, North Indian/Chinese/South Indian/Fast Food
The Chaat Shop, Yes, No,2.5,35, Basavanagudi, Quick Bites,200, Delivery, Banashankari, Fast Food
Anda Ka Funda, Yes, No,3.4,89, Jayanagar, Quick Bites,250, Delivery, Banashankari, North Indian/Chinese/Rolls
Shri Vinayaka Ice N Juice, Yes, No,3.2,11, Basavanagudi, Quick Bites,150, Delivery, Banashankari, Beverages/Fast Food
Ibaco, Yes, No,3.9,33, Jayanagar, Dessert Parlor,300, Delivery, Banashankari, Desserts
Jalaram Sweets, Yes, No,3.8,32, Jayanagar, Sweet Shop,250, Delivery, Banashankari, Desserts/Mithai
Samskruti - Sanman Gardenia, Yes, No,4.1,139, Jayanagar, Casual Dining,550, Delivery, Banashankari, North Indian/Chinese/South Indian
Bendakaluru Bytes, Yes, No,3.2,154, Vijay Nagar, Quick Bites,300, Delivery, Banashankari, Fast Food
Cocoa Bakes, Yes, No,3.6,14, Banashankari, Bakery,350, Delivery, Banashankari, Bakery/Desserts
Chumma Delicious, Yes, No,3.7,237, Banashankari, Quick Bites,200, Delivery, Banashankari, South Indian/Fast Food
New Prashanth Hotel, Yes, No,3.9,388, Banashankari, Casual Dining,650, Delivery, Banashankari, Biryani/North Indian/Seafood/Andhra
Dwaraka Grand, Yes, No,3.9,128, Kumaraswamy Layout, Casual Dining,500, Delivery, Banashankari, South Indian/Chinese/Street Food/Juices
Cafe Vivacity, Yes, No,3.8,90, Banashankari, Cafe,650, Delivery, Banashankari, Cafe
Tanna's Kitchen, Yes, No,3.1,7, Kumaraswamy Layout, Quick Bites,250, Delivery, Banashankari, Italian/Chinese/Street Food
Shree Mandarathi Grand, Yes, No,3.7,38, Uttarahalli, Casual Dining,400, Delivery, Banashankari, South Indian/North Indian
Mojo Pizza - 2X Toppings, Yes, No,4.2,179, Banashankari, Delivery,600, Delivery, Banashankari, Pizza
Iceberg Icecreams, Yes, No,4,43, Basavanagudi, Dessert Parlor,250, Delivery, Banashankari, Desserts/Ice Cream
South Kitchen, Yes, No,4.3,275, Basavanagudi, Quick Bites,100, Delivery, Banashankari, South Indian
Chung Wah, Yes, No,3.7,323, Jayanagar, Casual Dining,850, Delivery, Banashankari, Chinese/Thai/Momos
Shanthi Sagar, Yes, No,3.1,28, Uttarahalli, Casual Dining,400, Delivery, Banashankari, South Indian/North Indian/Chinese
Millet Mama, Yes, No,3.9,18, Basavanagudi, Quick Bites,200, Delivery, Banashankari, South Indian/Healthy Food
Bangarpet Chat Express, Yes, No,3.3,6, Basavanagudi, Quick Bites,100, Delivery, Banashankari, Street Food/Fast Food
Prems Graama Bhojanam, Yes, No,4.3,322, Jayanagar, Casual Dining,400, Delivery, Banashankari, South Indian
Java City, Yes, No,2.6,157, Jayanagar, Cafe,450, Delivery, Banashankari, Cafe/American/Pizza
Kamat Bugle Rock, Yes, No,3.9,543, Basavanagudi, Quick Bites,300, Delivery, Banashankari, South Indian/Fast Food
Woodee Pizza, Yes, No,3.7,180, Banashankari, Cafe,500, Delivery, Banashankari, Cafe/Pizza/Fast Food/Beverages
Puliyogare Point, Yes, No,4.2,444, Basavanagudi, Quick Bites,100, Delivery, Banashankari, South Indian
